Valentin Moldavsky,Szymon Bajor,Decision,Unanimous,Yoshinori Umeki,2,5:00,/fighter/Valentin-Moldavsky-191187,/fighter/Szymon-Bajor-64534,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Rin Nakai,Kanako Murata,Submission,Rear-Naked Choke,Jason Herzog,3,1:16,/fighter/Rin-Nakai-18887,/fighter/Kanako-Murata-219081,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Tenshin Nasukawa,Nikita Sapun,TKO,Punches,Yoshinori Umeki,1,2:45,/fighter/Tenshin-Nasukawa-241529,/fighter/Nikita-Sapun-239503,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Kazuyuki Miyata,Andy Souwer,Submission,Armbar,Ryogaku Wada,1,4:39,/fighter/Kazuyuki-Miyata-11707,/fighter/Andy-Souwer-9655,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Yuki Motoya,Allan Nascimento,Decision,Split,Jason Herzog,2,5:00,/fighter/Yuki-Motoya-66241,/fighter/Allan-Nascimento-87857,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Tatsumitsu Wada,Kai Kara-France,Decision,Unanimous,Hirokazu Takamoto,3,5:00,/fighter/Tatsumitsu-Wada-28152,/fighter/Kai-KaraFrance-73692,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Yusuke Yachi,Mario Sismundo,TKO,Knee to the Body and Punches,Ryogaku Wada,1,0:19,/fighter/Yusuke-Yachi-44738,/fighter/Mario-Sismundo-87309,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Alyssa Garcia,Kanna Asakura,Decision,Unanimous,Jason Herzog,3,5:00,/fighter/Alyssa-Garcia-154823,/fighter/Kanna-Asakura-176903,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Vadim Nemkov,Alison Vicente,KO,Punches,Hirokazu Takamoto,1,0:54,/fighter/Vadim-Nemkov-143059,/fighter/Alison-Vicente-50129,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Satoru Kitaoka,Daron Cruickshank,Technical Submission,Guillotine Choke,Jason Herzog,1,8:18,/fighter/Satoru-Kitaoka-1756,/fighter/Daron-Cruickshank-53717,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
